RedChoice,Self,Others,Group,SubjectPair,RT,Trial,Other1,Other2,Other3,Other4,Other1rt,Other2rt,Other3rt,Other4rt,Other1confidence,Other2confidence,Other3confidence,Other4confidence,OptimalChoice,OthersConfidenceRed,OthersConfidenceGreen,Subject,RTscaled
1,0.75,3898.5,1,101,1623,34,1,1,1,1,1655,2057,2090,1909,1,1,1,1,1,1,1,101,0.8430578481229314
1,0.75,3898.5,1,101,2248,90,0,1,1,0,2013,1849,2411,2284,1,1,1,1,0,1,1,101,0.7826210983243065
0,0.25,3898.5,1,101,1922,2,0,0,0,0,337,575,184,52,0.5,0.5,0.5,0.5,1,1,0.5,101,-0.8332629197380441
1,0.625,3898.5,1,101,1863,68,1,1,1,1,17,36,28,135,0.5,0.5,0.5,0.5,1,0.5,1,101,0.8198501362002593
1,0.625,3898.5,1,101,3044,40,0,0,0,0,2390,2331,1764,1797,1,1,1,1,0,1,1,101,0.7056488537807781
0,0.375,3898.5,1,101,3288,66,1,1,1,1,243,206,530,147,0.5,0.5,0.5,0.5,0,0.5,1,101,-0.7147598751814198
0,0.375,3898.5,1,101,2237,80,0,1,0,0,2244,2095,2254,2470,1,1,1,1,1,1,1,101,-0.8059360829625414
0,0.25,3898.5,1,101,1388,72,0,0,0,0,2181,2086,2495,2111,1,1,1,1,0,1,1,101,-0.8795884144622296
0,0.125,3898.5,1,101,1482,50,0,1,0,1,2009,714,2381,534,1,0.5,1,0.5,1,0.5,1,101,-0.8714337393609684
0,0.25,3898.5,1,101,1441,16,0,1,1,0,275,1878,2026,32,0.5,1,1,0.5,1,1,0.5,101,-0.8749905657349227
1,0.625,3898.5,1,101,1823,12,0,0,1,0,720,464,1689,584,0.5,0.5,1,0.5,1,1,0.5,101,0.8237180881873714
0,0.5,3898.5,1,101,3268,102,1,1,1,1,2358,2294,2361,2177,1,1,1,1,0,1,1,101,-0.7164949124370072
0,0.125,3898.5,1,101,1554,8,0,1,0,0,99,2428,152,709,0.5,1,0.5,0.5,1,1,0.5,101,-0.8651876052408536
0,0.375,3898.5,1,101,2113,31,1,1,1,1,2420,2084,2058,1692,1,1,1,1,0,1,1,101,-0.8166933139471837
0,0.125,3898.5,1,101,1675,85,0,0,1,1,718,445,334,519,0.5,0.5,0.5,0.5,1,0.5,0.5,101,-0.8546906298445494
0,0.5,3898.5,1,101,3913,25,1,0,1,1,2160,718,1728,2297,1,0.5,1,1,1,1,0.5,101,-0.6605399609443113
0,0.375,3898.5,1,101,1714,73,0,0,0,0,811,392,100,557,0.5,0.5,0.5,0.5,0,1,0.5,101,-0.8513073071961538
