ID,BotStrategyN,Role,player.tom_role,Choice,BotChoice,Payoff,BotPayoff,BotParameters,Trial,BotStrategy
Florence,-2,0,1,0,0,1,-1,WSLS,24,-2
Milan,-1,1,0,1,0,1,-1,Random Bias 0.6 Head,24,-1
Dublin,-1,1,0,1,1,-1,1,Random Bias 0.6 Head,24,-1
Cannes,2,1,0,1,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -1.6835697742950577, 'p_op_var0': 0.5402640017579494}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.4429115788517321, 'p_op_var0': -0.5702796818834558}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.18955808]), 'param_mean': array([[-3.02076446,  0.3981311 , -0.07795097]]), 'param_var': array([[ 2.98269909, -1.10123024, -1.83037286]]), 'gradient': array([[ 0.0082098 , -0.26749567,  1.        ]])}}}, 'own_states': {'p_k': array([0.289373, 0.710627]), 'p_op_mean': array([ 1.06192955, -0.60659957]), 'param_mean': array([[-0.21683196,  0.16966879,  0.08370513],        [-0.00919335, -0.53049192, -0.29551399]]), 'param_var': array([[ 1.3996525 , -0.14514107, -0.57295967],        [ 1.4132136 , -1.1877848 , -1.68849747]]), 'gradient': array([[ 4.19054471e-03, -9.78175508e-01,  9.99999997e-01],        [ 9.01035757e-05,  3.11070027e-01,  9.99999998e-01]]), 'p_self': 0.38797542528182893}}",24,2
Madrid,0,0,1,1,0,-1,1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': 0.7638928594194172, 'p_op_var0': -0.3786090940385702, 'p_self': 0.14300804184867624}}",24,0
Oslo,2,0,1,1,1,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.3065566076774893, 'p_op_var0': 0.5012775444350791}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.04000399710501473, 'p_op_var0': -0.1170257348300314}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.39407772]), 'param_mean': array([[-1.75549622,  0.48706207,  0.4154674 ]]), 'param_var': array([[ 3.04380266, -0.39508983, -1.85348838]]), 'gradient': array([[-0.03598074,  0.02138861,  1.        ]])}}}, 'own_states': {'p_k': array([0.15739344, 0.84260656]), 'p_op_mean': array([-0.64442296, -0.01341025]), 'param_mean': array([[-0.10837182,  0.2701013 , -0.46000791],        [ 0.00768912, -0.32737944, -0.53652235]]), 'param_var': array([[ 1.37059071, -0.39341068, -0.97020641],        [ 1.41405127, -0.76917213, -1.60862629]]), 'gradient': array([[-0.15211089,  0.18440583,  1.        ],        [ 0.00177798, -0.52308594,  1.        ]]), 'p_self': 0.5685456965010912}}",24,2
Istanbul,-2,0,1,0,0,1,-1,WSLS,24,-2
Brussels,1,1,0,0,1,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.3141821865975144, 'p_op_var0': 0.41861637715095673}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.09240351]), 'param_mean': array([[-0.63042501,  0.78909083,  0.2065381 ]]), 'param_var': array([[ 1.35865257, -0.59748933, -1.86576147]]), 'gradient': array([[0.10164849, 0.11412888, 1.        ]]), 'p_self': 0.5602924232044533}}",24,1
Amsterdam,0,0,1,0,1,-1,1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': -0.8219655946736716, 'p_op_var0': -0.3751158477168645, 'p_self': 0.8715658580876414}}",24,0
Edinburgh,1,1,0,1,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 1.031421194983547, 'p_op_var0': 0.18230685015005269}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.49063106]), 'param_mean': array([[-1.02114629,  0.99848179,  0.78989299]]), 'param_var': array([[ 1.38990988, -0.59479051, -1.83705918]]), 'gradient': array([[-0.01087689,  0.29924696,  1.        ]]), 'p_self': 0.7794841269173216}}",24,1
Prague,-2,1,0,0,1,1,-1,WSLS,24,-2
Lisbon,0,1,0,0,0,-1,1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': -0.44620640280663276, 'p_op_var0': -0.3388801829176301, 'p_self': 0.25578765359860817}}",24,0
Barcelona,1,1,0,1,0,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.05455326372995219, 'p_op_var0': 0.1508664937092576}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.23686926]), 'param_mean': array([[-0.87059197, -0.18973852,  0.29223151]]), 'param_var': array([[ 1.27600797, -1.01680947, -1.84464025]]), 'gradient': array([[0.17422512, 0.05535948, 1.        ]]), 'p_self': 0.6484643628599853}}",24,1
Copenhagen,-1,0,1,1,0,-1,1,Random Bias 0.6 Head,24,-1
Stockholm,-1,0,1,0,1,-1,1,Random Bias 0.6 Head,24,-1
Vienna,-1,0,1,0,1,-1,1,Random Bias 0.6 Head,24,-1
Budapest,2,1,0,0,0,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.17827485768095067, 'p_op_var0': 0.18863985414719214}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.30091944810427795, 'p_op_var0': -0.378934817250233}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.18491359]), 'param_mean': array([[-2.17743977,  0.57963458, -0.03485455]]), 'param_var': array([[ 3.04793962, -0.82408683, -1.85735678]]), 'gradient': array([[-0.01799775,  0.15005153,  1.        ]])}}}, 'own_states': {'p_k': array([0.28967229, 0.71032771]), 'p_op_mean': array([-0.32723005, -0.26070439]), 'param_mean': array([[-0.9163566 ,  0.31448492, -0.43570365],        [ 0.00132638,  0.02522459, -0.43518506]]), 'param_var': array([[ 1.28258903, -0.73781676, -1.36415855],        [ 1.41407689, -0.23444047, -1.23903332]]), 'gradient': array([[-1.10940851e-01, -1.08468174e-01,  9.99999998e-01],        [ 1.48534516e-04, -1.74471942e-01,  9.99999998e-01]]), 'p_self': 0.3279741771450237}}",24,2
London,-1,0,1,0,0,1,-1,Random Bias 0.6 Head,24,-1
Berlin,0,0,1,0,1,-1,1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': 0.0320523883463872, 'p_op_var0': -0.3602373445373719, 'p_self': 0.4805374833653511}}",24,0
Oxford,-1,0,1,1,0,-1,1,Random Bias 0.6 Head,25,-1
Hamburg,-2,0,1,0,0,1,-1,WSLS,25,-2
Paris,2,0,1,1,1,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.8894892559492572, 'p_op_var0': 0.2939216254103777}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.3321688902269032, 'p_op_var0': 0.1434857041801341}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.30696613]), 'param_mean': array([[-0.39873516,  0.37060248,  0.11547954]]), 'param_var': array([[ 3.05502937, -0.70434338, -1.88957679]]), 'gradient': array([[ 0.10737576, -0.19147702,  1.        ]])}}}, 'own_states': {'p_k': array([0.16552388, 0.83447612]), 'p_op_mean': array([-1.00944854, -0.06769405]), 'param_mean': array([[-0.44923088,  0.34602843, -0.51449745],        [ 0.01145348, -0.34826936, -0.47061932]]), 'param_var': array([[ 1.4063967 , -0.46702513, -1.08197678],        [ 1.44641941, -0.65293166, -1.57750702]]), 'gradient': array([[-0.04587165,  0.49492635,  1.        ],        [ 0.00265725, -0.40290512,  1.        ]]), 'p_self': 0.6309754614064448}}",25,2
Florence,-2,0,1,1,1,1,-1,WSLS,25,-2
Milan,-1,1,0,1,0,1,-1,Random Bias 0.6 Head,25,-1
Dublin,-1,1,0,0,1,1,-1,Random Bias 0.6 Head,25,-1
Cannes,2,1,0,1,0,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.08750926678511753, 'p_op_var0': 0.6378800350106754}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.6535873444724606, 'p_op_var0': -0.6185085228654565}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.39794781]), 'param_mean': array([[-2.94373019,  0.35810285, -0.00812473]]), 'param_var': array([[ 3.03133259, -1.10710707, -1.86933438]]), 'gradient': array([[ 0.00685816, -0.40605224,  1.        ]])}}}, 'own_states': {'p_k': array([0.46626493, 0.53373507]), 'p_op_mean': array([ 0.21059964, -0.85675443]), 'param_mean': array([[-0.21472887,  0.07526746,  0.14802764],        [-0.00906125, -0.4978488 , -0.23308839]]), 'param_var': array([[ 1.43248565, -0.21622349, -0.62193505],        [ 1.44561804, -1.19137402, -1.71076962]]), 'gradient': array([[-2.76517001e-01, -6.25688715e-02,  9.99999998e-01],        [-3.24634775e-05,  6.23634858e-01,  9.99999997e-01]]), 'p_self': 0.2916588641744377}}",25,2
Madrid,0,0,1,0,0,1,-1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': 0.9851885657680592, 'p_op_var0': -0.3619276913661579, 'p_self': 0.09526998614354742}}",25,0
Oslo,2,0,1,0,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.5892873734610307, 'p_op_var0': 0.4415812761046011}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.4368783262491886, 'p_op_var0': -0.21078639170225358}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.24430076]), 'param_mean': array([[-2.07206625,  0.49286417,  0.47627993]]), 'param_var': array([[ 3.08403464, -0.39516395, -1.89048554]]), 'gradient': array([[-0.01781299,  0.23196757,  1.        ]])}}}, 'own_states': {'p_k': array([0.11427695, 0.88572305]), 'p_op_mean': array([-0.08154922, -0.08876878]), 'param_mean': array([[-0.15468665,  0.2794201 , -0.43188127],        [ 0.01105634, -0.43249603, -0.45107098]]), 'param_var': array([[ 1.40195445, -0.39400243, -0.97993611],        [ 1.44642605, -0.7968601 , -1.65199235]]), 'gradient': array([[ 9.59308953e-02, -3.50314537e-01,  9.99999998e-01],        [ 3.75181909e-04, -3.62284086e-01,  9.99999998e-01]]), 'p_self': 0.5567257997697024}}",25,2
Istanbul,-2,0,1,1,1,1,-1,WSLS,25,-2
Brussels,1,1,0,1,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.872064751143285, 'p_op_var0': 0.27891986904130656}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.19461026]), 'param_mean': array([[-0.8423065 ,  0.75630355,  0.12858587]]), 'param_var': array([[ 1.38251878, -0.59927553, -1.90364677]]), 'gradient': array([[-0.02126704,  0.32317997,  1.        ]]), 'p_self': 0.37548946563744284}}",25,1
Amsterdam,0,0,1,1,1,1,-1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': -1.0358163291458444, 'p_op_var0': -0.3561691736009027, 'p_self': 0.9129928192739948}}",25,0
Edinburgh,1,1,0,0,1,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 1.3453264865942933, 'p_op_var0': 0.1776650590924598}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.4950805]), 'param_mean': array([[-1.03828492,  1.06045202,  0.84819341]]), 'param_var': array([[ 1.42295018, -0.60635943, -1.87389033]]), 'gradient': array([[-0.00418985,  0.35309419,  1.        ]]), 'p_self': 0.7809392157140083}}",25,1
Prague,-2,1,0,1,0,1,-1,WSLS,25,-2
Lisbon,0,1,0,1,1,-1,1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': -0.7215557851903109, 'p_op_var0': -0.348780363122568, 'p_self': 0.15533738468171449}}",25,0
Barcelona,1,1,0,1,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.5623029388108173, 'p_op_var0': 0.1831231705406986}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.91221343]), 'param_mean': array([[-0.5926478 , -0.18090824,  0.35933963]]), 'param_var': array([[ 1.28565086, -1.01708274, -1.88287138]]), 'gradient': array([[ 0.1137564 , -0.55284616,  1.        ]]), 'p_self': 0.9016365613620105}}",25,1
Copenhagen,-1,0,1,1,1,1,-1,Random Bias 0.6 Head,25,-1
Stockholm,-1,0,1,1,0,-1,1,Random Bias 0.6 Head,25,-1
Vienna,-1,0,1,1,0,-1,1,Random Bias 0.6 Head,25,-1
Budapest,2,1,0,0,0,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.706714494616241, 'p_op_var0': 0.14842540692678335}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.5915402080091897, 'p_op_var0': -0.38085257048248683}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.40190293]), 'param_mean': array([[-1.9974392 ,  0.5498326 , -0.10306288]]), 'param_var': array([[ 3.09258521, -0.82653188, -1.89531659]]), 'gradient': array([[-0.01543393,  0.29882511,  1.        ]])}}}, 'own_states': {'p_k': array([0.29497415, 0.70502585]), 'p_op_mean': array([-0.04830004, -0.16110923]), 'param_mean': array([[-0.86523671,  0.32089121, -0.46671815],        [ 0.00113279,  0.06739283, -0.51981192]]), 'param_var': array([[ 1.31613191, -0.73822063, -1.382345  ],        [ 1.44645381, -0.23860453, -1.28801145]]), 'gradient': array([[ 4.36497621e-02, -4.18397188e-01,  9.99999998e-01],        [ 8.89595250e-05, -3.58684759e-01,  9.99999998e-01]]), 'p_self': 0.4192861080395925}}",25,2
London,-1,0,1,1,0,-1,1,Random Bias 0.6 Head,25,-1
Berlin,0,0,1,1,1,1,-1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': -0.3181469307508246, 'p_op_var0': -0.3720034012386914, 'p_self': 0.6832809845170991}}",25,0
Oxford,-1,0,1,0,1,-1,1,Random Bias 0.6 Head,26,-1
Hamburg,-2,0,1,1,1,1,-1,WSLS,26,-2
Paris,2,0,1,1,0,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.1035070382043506, 'p_op_var0': 0.3371750325655899}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.656830453672983, 'p_op_var0': 0.5297302037655575}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.18640775]), 'param_mean': array([[0.55375463, 0.33065184, 0.17725911]]), 'param_var': array([[ 3.04110772, -0.70876041, -1.92581967]]), 'gradient': array([[-0.16154425,  0.36364868,  1.        ]])}}}, 'own_states': {'p_k': array([0.09874343, 0.90125657]), 'p_op_mean': array([-0.43177958, -0.63575385]), 'param_mean': array([[-0.46322637,  0.36841498, -0.490129  ],        [ 0.01687963, -0.44414896, -0.37869313]]), 'param_var': array([[ 1.43884774, -0.46998877, -1.08850656],        [ 1.47777497, -0.67176966, -1.62293122]]), 'gradient': array([[ 0.12467341, -0.05834651,  1.        ],        [-0.00763836,  0.25704787,  1.        ]]), 'p_self': 0.8261279780965238}}",26,2
Florence,-2,0,1,0,0,1,-1,WSLS,26,-2
Milan,-1,1,0,1,0,1,-1,Random Bias 0.6 Head,26,-1
Dublin,-1,1,0,0,1,1,-1,Random Bias 0.6 Head,26,-1
Cannes,2,1,0,1,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.8201681429516309, 'p_op_var0': 0.4267836792357812}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.8309864740390517, 'p_op_var0': -0.6569393981572481}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.37294421]), 'param_mean': array([[-3.03279754,  0.43734611, -0.09708436]]), 'param_var': array([[ 3.07779344, -1.12012023, -1.90573332]]), 'gradient': array([[ 0.00417896, -0.47000506,  1.        ]])}}}, 'own_states': {'p_k': array([0.61958317, 0.38041683]), 'p_op_mean': array([ 0.88342743, -0.74119137]), 'param_mean': array([[-0.53032159,  0.06129802,  0.28559173],        [-0.00909922, -0.44772497, -0.18551041]]), 'param_var': array([[ 1.41486934, -0.21670648, -0.70097623],        [ 1.47700532, -1.20073342, -1.72505019]]), 'gradient': array([[ 5.83604301e-02, -5.97805815e-01,  9.99999997e-01],        [ 2.55889121e-05,  5.55653181e-01,  9.99999997e-01]]), 'p_self': 0.6333018907934913}}",26,2
Madrid,0,0,1,1,0,-1,1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': 0.4652234908254075, 'p_op_var0': -0.3367269234126626, 'p_self': 0.24749770854948455}}",26,0
Oslo,2,0,1,0,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 1.1404625880327224, 'p_op_var0': 0.43488189458787513}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.019558054198475498, 'p_op_var0': -0.28592745287539945}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.55012674]), 'param_mean': array([[-2.25057752,  0.5608845 ,  0.54022429]]), 'param_var': array([[ 3.12746309, -0.4040515 , -1.92700253]]), 'gradient': array([[ 0.02173366, -0.00990196,  1.        ]])}}}, 'own_states': {'p_k': array([0.11395592, 0.88604408]), 'p_op_mean': array([0.18646406, 0.22367452]), 'param_mean': array([[-0.17667589,  0.29230147, -0.4521789 ],        [ 0.0103601 , -0.36425338, -0.52891899]]), 'param_var': array([[ 1.43362155, -0.3963534 , -0.99055469],        [ 1.47778823, -0.80985407, -1.69349217]]), 'gradient': array([[ 3.83956459e-02, -6.38611031e-01,  9.99999998e-01],        [-2.61793250e-04, -7.52555874e-01,  9.99999998e-01]]), 'p_self': 0.36565025161837544}}",26,2
Istanbul,-2,0,1,0,0,1,-1,WSLS,26,-2
Brussels,1,1,0,0,0,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 1.247542718334885, 'p_op_var0': 0.24181834289905849}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.19769564]), 'param_mean': array([[-0.89034702,  0.85229502,  0.20741629]]), 'param_var': array([[ 1.41545522, -0.61338123, -1.93988758]]), 'gradient': array([[-0.00854711,  0.40509168,  1.        ]]), 'p_self': 0.3741054576028629}}",26,1
Amsterdam,0,0,1,1,1,1,-1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': -0.504832875462605, 'p_op_var0': -0.32926981747777745, 'p_self': 0.7690199347136242}}",26,0
Edinburgh,1,1,0,1,0,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 1.6010390426727057, 'p_op_var0': 0.213097705561256}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.3024904]), 'param_mean': array([[-1.02713139,  0.94270153,  0.75613322]]), 'param_var': array([[ 1.45502794, -0.62222981, -1.90937551]]), 'gradient': array([[-3.54142354e-04,  4.53620136e-01,  9.99999998e-01]]), 'p_self': 0.6858993470044537}}",26,1
Prague,-2,1,0,0,1,1,-1,WSLS,26,-2
Lisbon,0,1,0,0,1,1,-1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': -0.2440543196559415, 'p_op_var0': -0.3431030901225558, 'p_self': 0.3566915455419332}}",26,0
Barcelona,1,1,0,0,0,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.25520560894482, 'p_op_var0': 0.24951489399408883}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.13511934]), 'param_mean': array([[-0.47153611, -0.2369333 ,  0.40162325]]), 'param_var': array([[ 1.31250606, -1.0394285 , -1.91350315]]), 'gradient': array([[-0.19372335,  0.26649058,  1.        ]]), 'p_self': 0.5860773777662449}}",26,1
Copenhagen,-1,0,1,0,1,-1,1,Random Bias 0.6 Head,26,-1
Stockholm,-1,0,1,1,1,1,-1,Random Bias 0.6 Head,26,-1
Vienna,-1,0,1,1,0,-1,1,Random Bias 0.6 Head,26,-1
Budapest,2,1,0,1,0,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -1.0918581877799307, 'p_op_var0': 0.15353880672336528}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.8424025601532209, 'p_op_var0': -0.35081685540648705}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.59810411]), 'param_mean': array([[-1.85511465,  0.49790599, -0.16120144]]), 'param_var': array([[ 3.13569661, -0.83587228, -1.93077116]]), 'gradient': array([[-0.01223688,  0.43688082,  1.        ]])}}}, 'own_states': {'p_k': array([0.28518511, 0.71481489]), 'p_op_mean': array([ 0.10389739, -0.12892499]), 'param_mean': array([[-0.8886956 ,  0.34855324, -0.50102958],        [ 0.00100462,  0.15861803, -0.60623539]]), 'param_var': array([[ 1.35125729, -0.74416485, -1.40007113],        [ 1.47781526, -0.25643822, -1.33582149]]), 'gradient': array([[ 2.10087702e-02, -6.04896721e-01,  9.99999998e-01],        [ 4.08375084e-05, -4.77286541e-01,  9.99999998e-01]]), 'p_self': 0.4607012285689921}}",26,2
London,-1,0,1,0,0,1,-1,Random Bias 0.6 Head,26,-1
Berlin,0,0,1,1,1,1,-1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': 0.07933208221780494, 'p_op_var0': -0.375940246229761, 'p_self': 0.4518951589467472}}",26,0
Oxford,-1,0,1,0,0,1,-1,Random Bias 0.6 Head,27,-1
Hamburg,-2,0,1,0,0,1,-1,WSLS,27,-2
Paris,2,0,1,0,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.6106836652263762, 'p_op_var0': 0.30612701867460107}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 1.665638127533937, 'p_op_var0': 1.0833173849613016}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.699743]), 'param_mean': array([[1.96061572, 0.25075512, 0.11345867]]), 'param_var': array([[ 2.95502546, -0.72476505, -1.96130682]]), 'gradient': array([[-0.06183052,  0.81316101,  1.        ]])}}}, 'own_states': {'p_k': array([0.11081939, 0.88918061]), 'p_op_mean': array([-0.80772678, -1.16409985]), 'param_mean': array([[-0.42684275,  0.3659649 , -0.46770471],        [-0.00318372, -0.36833341, -0.26836493]]), 'param_var': array([[ 1.46865745, -0.47004506, -1.09737424],        [ 1.50813087, -0.67853948, -1.66187623]]), 'gradient': array([[-0.06892901,  0.34000507,  1.        ],        [-0.00365617,  0.89569014,  1.        ]]), 'p_self': 0.9279545470887728}}",27,2
Florence,-2,0,1,1,1,1,-1,WSLS,27,-2
Milan,-1,1,0,0,0,-1,1,Random Bias 0.6 Head,27,-1
Dublin,-1,1,0,1,1,-1,1,Random Bias 0.6 Head,27,-1
Cannes,2,1,0,1,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.20644861974978665, 'p_op_var0': 0.3911601200811068}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.9849896881949978, 'p_op_var0': -0.6781989610597886}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.54410806]), 'param_mean': array([[-2.9941111 ,  0.37588142, -0.03853726]]), 'param_var': array([[ 3.12233099, -1.13737528, -1.94101843]]), 'gradient': array([[ 0.00317324, -0.58261619,  1.        ]])}}}, 'own_states': {'p_k': array([0.78423802, 0.21576198]), 'p_op_mean': array([ 0.21699443, -0.93771542]), 'param_mean': array([[-0.4735481 , -0.04417746,  0.39090133],        [-0.00908234, -0.42339393, -0.1596929 ]]), 'param_var': array([[ 1.444874  , -0.26234486, -0.77840809],        [ 1.50743734, -1.20510634, -1.73341754]]), 'gradient': array([[-1.64724049e-01,  1.73898201e-01,  9.99999998e-01],        [-5.76046433e-06,  7.77983617e-01,  9.99999997e-01]]), 'p_self': 0.4829688948176811}}",27,2
Madrid,0,0,1,0,0,1,-1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': 0.7379919087393711, 'p_op_var0': -0.34655959801575825, 'p_self': 0.1507258456559048}}",27,0
Oslo,2,0,1,1,1,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 1.5410000954134637, 'p_op_var0': 0.5028972792136753}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.3762154610050622, 'p_op_var0': -0.3280055790331741}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.78175854]), 'param_mean': array([[-2.06162382,  0.55846613,  0.59174389]]), 'param_var': array([[ 3.16821275, -0.40406668, -1.9602201 ]]), 'gradient': array([[ 0.01871785, -0.19000516,  1.        ]])}}}, 'own_states': {'p_k': array([0.11579292, 0.88420708]), 'p_op_mean': array([0.31541475, 0.27599944]), 'param_mean': array([[-0.18719228,  0.31927597, -0.47543093],        [ 0.01094133, -0.20831562, -0.61577842]]), 'param_var': array([[ 1.46519854, -0.40419649, -1.00115591],        [ 1.50819672, -0.8634036 , -1.73284941]]), 'gradient': array([[ 1.11370282e-02, -7.90806138e-01,  9.99999998e-01],        [ 8.48857018e-05, -8.91733271e-01,  9.99999998e-01]]), 'p_self': 0.3332761693133838}}",27,2
Istanbul,-2,0,1,1,1,1,-1,WSLS,27,-2
Brussels,1,1,0,0,1,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.23169730083337062, 'p_op_var0': 0.2681980308789529}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.05538654]), 'param_mean': array([[-0.87396094,  0.75554813,  0.14486215]]), 'param_var': array([[ 1.44771134, -0.63514269, -1.97485042]]), 'gradient': array([[0.07713771, 0.08947114, 1.        ]]), 'p_self': 0.5364742337450875}}",27,1
Amsterdam,0,0,1,0,1,-1,1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': -0.060870337710512167, 'p_op_var0': -0.3397599739052655, 'p_self': 0.5368298281019089}}",27,0
Edinburgh,1,1,0,0,1,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.5153846364644384, 'p_op_var0': 0.2659092205957962}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.66936699]), 'param_mean': array([[-1.02779655,  1.04344848,  0.81689887]]), 'param_var': array([[ 1.48612564, -0.64886164, -1.944944  ]]), 'gradient': array([[0.05951779, 0.14752418, 1.        ]]), 'p_self': 0.846400750264819}}",27,1
Prague,-2,1,0,1,0,1,-1,WSLS,27,-2
Lisbon,0,1,0,1,0,1,-1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': -0.5512729464339795, 'p_op_var0': -0.35759439227591916, 'p_self': 0.21200023801593645}}",27,0
Barcelona,1,1,0,1,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.5491126444233279, 'p_op_var0': 0.3559033672046672}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.91057631]), 'param_mean': array([[-0.08720159, -0.28692273,  0.32565468]]), 'param_var': array([[ 1.31295017, -1.04565941, -1.94956771]]), 'gradient': array([[ 0.19813526, -0.58489239,  1.        ]]), 'p_self': 0.8985539361348617}}",27,1
Copenhagen,-1,0,1,1,1,1,-1,Random Bias 0.6 Head,27,-1
Stockholm,-1,0,1,1,1,1,-1,Random Bias 0.6 Head,27,-1
Vienna,-1,0,1,1,1,1,-1,Random Bias 0.6 Head,27,-1
